"dq_id","table_name","column_name","rule_description","total_records","failed_records","passed_records","failure_percentage","dq_status","checked_at"
"DQ001","stg_aircraft_iot","aircraft_id","Aircraft ID must not be NULL",22000,0,22000,0.00,"PASS","2026-09-17 22:09:18.724112"
"DQ002","stg_aircraft_maintenance","aircraft_id","Aircraft ID must not be NULL",100,0,100,0.00,"PASS","2026-09-17 22:10:02.380435"
"DQ003","stg_airport_operations","arpt_id","Airport ID must not be NULL or blank",19426,0,19426,0.00,"PASS","2026-09-17 22:10:09.953847"
"DQ004","stg_baggage_handling","passengers","Passenger count must not be NULL",101,101,0,100.00,"FAIL","2026-09-17 22:10:20.903976"
"DQ005","stg_crew_scheduling","crew_id","Crew ID must not be NULL",16000,0,16000,0.00,"PASS","2026-09-17 22:10:27.104859"
"DQ006","stg_crm","customer_id","Customer ID must not be NULL",15000,0,15000,0.00,"PASS","2026-09-17 22:10:35.272482"
"DQ007","stg_flight_delay","departure_delay_min / arrival_delay_min","Departure and arrival delay minutes must not be negative",17000,0,17000,0.00,"PASS","2026-09-17 22:10:42.339257"
"DQ008","stg_flight_operations","date_of_journey / total_stops","Journey date must exist and total stops must be valid",10683,1,10682,0.01,"FAIL","2026-09-17 22:10:51.122516"
"DQ009","stg_passenger_reservation","date_of_journey / source / destination","Journey date, source and destination must not be NULL",10683,0,10683,0.00,"PASS","2026-09-17 22:10:58.004214"
"DQ010","stg_ticketing_booking","ticket_id / financial_amounts","Ticket ID must exist and monetary amounts must not be negative",24000,0,24000,0.00,"PASS","2026-09-17 22:11:32.139045"
